treatment,cohort,n_weeks_alive as nymph,n_weeks_alive as adult,tot_weeks_alived,n_weeks laying_eggs,n_weeks_hatching eggs,tot_eggs_laid_ x_fem,tot_eggs_hatched_x_fem,%_hatched
control,rep2B,8,2,10,0,0,0,0,#¡DIV/0!
control,rep2B,8,11,19,5,5,5,1,20
control,rep2B,9,6,15,3,3,8,5,62.5
control,rep2B,9,4,13,3,1,7,4,57.1
control,rep2B,9,6,15,6,6,43,16,37.2
control,rep2B,9,2,11,0,0,0,0,#¡DIV/0!
control,rep2B,9,7,16,5,4,27,1,3.7
control,rep2B,9,5,14,5,5,38,38,100
control,rep2B,9,5,14,0,0,0,0,#¡DIV/0!
control,rep2B,9,2,11,0,0,0,0,#¡DIV/0!
control,rep2B,9,3,12,2,2,16,15,93.8
control,rep2B,9,13,22,11,10,49,32,65.3
infected,rep2A,6,5,11,3,0,8,0,0
infected,rep2A,6,13,19,12,11,65,50,76.9
infected,rep2A,6,20,26,9,9,12,6,50
infected,rep2A,6,11,17,6,6,8,6,75
infected,rep2A,6,19,25,10,6,37,17,45.9
infected,rep2A,6,24,30,17,17,95,73,76.8
infected,rep2A,7,11,18,5,5,33,26,78.8
infected,rep2A,7,10,17,9,9,35,24,68.6
infected,rep2A,7,4,11,3,2,3,1,33.3
infected,rep2A,7,35,42,24,21,188,140,74.5
infected,rep2A,7,5,12,4,4,27,19,70.4
infected,rep2A,7,9,16,4,0,1,0,0
infected,rep2A,8,9,17,8,8,45,21,46.7
infected,rep2B,6,14,20,11,11,36,26,72.2
infected,rep2B,6,4,10,2,0,1,0,0
infected,rep2B,6,4,10,2,2,9,6,66.7
infected,rep2B,6,2,8,0,0,0,0,#¡DIV/0!
infected,rep2B,6,28,34,21,21,220,157,71.4
infected,rep2B,6,7,13,7,6,40,30,75
infected,rep2B,6,8,14,8,8,30,14,46.7
infected,rep2B,6,7,13,6,6,57,44,77.2
infected,rep2B,6,7,13,5,5,15,11,73.3
infected,rep2B,6,6,12,5,5,13,7,53.8
infected,rep2B,6,14,20,12,12,43,34,79.1
infected,rep2B,6,8,14,7,6,22,11,50
infected,rep2B,6,5,11,5,4,37,31,83.8
infected,rep2B,6,3,9,3,3,6,3,50
infected,rep2B,7,33,40,27,24,257,208,80.9
infected,rep2B,7,3,10,3,3,17,13,76.5
infected,rep2B,7,13,20,9,9,54,23,42.6
infected,rep2B,7,20,27,18,12,62,22,35.5
infected,rep2B,7,17,24,13,11,87,16,18.4
infected,rep2B,7,21,28,4,0,3,0,0
infected,rep2B,7,8,15,6,6,25,18,72
infected,rep2B,7,19,26,13,13,87,45,51.7
control,rep3A,5,16,21,13,13,77,66,85.7
control,rep3A,5,16,21,13,12,46,35,76.1
control,rep3A,6,2,8,2,2,11,10,90.9
control,rep3A,6,28,34,10,8,38,16,42.1
control,rep3A,7,2,9,0,0,0,0,#¡DIV/0!
control,rep3A,7,7,14,6,5,29,15,51.7
control,rep3A,7,18,25,9,8,44,13,29.5
control,rep3A,8,14,22,12,12,40,25,62.5
control,rep3A,8,13,21,0,0,0,0,#¡DIV/0!
control,rep3A,8,11,19,4,3,20,14,70
control,rep3A,8,15,23,9,9,31,22,71
control,rep3A,9,9,18,7,7,43,33,76.7
control,rep3B,5,22,27,18,7,38,29,76.3
control,rep3B,5,25,30,25,25,157,95,60.5
control,rep3B,5,8,13,5,5,21,20,95.2
control,rep3B,6,14,20,12,12,56,50,89.3
control,rep3B,6,30,36,17,17,79,62,78.5
control,rep3B,6,20,26,12,12,51,43,84.3
control,rep3B,6,17,23,15,12,58,49,84.5
control,rep3B,6,24,30,10,10,28,22,78.6
control,rep3B,6,14,20,9,0,4,0,0
control,rep3B,6,22,28,17,6,33,8,24.2
control,rep3B,6,15,21,13,7,34,26,76.5
control,rep3B,6,16,22,11,3,21,14,66.7
control,rep3B,6,22,28,15,15,54,40,74.1
control,rep3B,6,7,13,5,5,32,26,81.3
control,rep3B,6,6,12,5,5,22,19,86.4
control,rep3B,7,5,12,2,0,2,0,0
control,rep3B,7,25,32,25,25,131,64,48.9
infected,rep3A,5,31,36,20,20,168,149,88.7
infected,rep3A,5,15,20,10,10,38,32,84.2
infected,rep3A,5,4,9,2,2,1,1,100
infected,rep3A,6,24,30,23,23,183,107,58.5
infected,rep3A,6,30,36,24,23,193,116,60.1
infected,rep3A,6,14,20,4,3,29,20,69
infected,rep3A,6,5,11,4,4,42,29,69
infected,rep3A,6,5,11,4,4,35,32,91.4
infected,rep3A,6,26,32,19,19,154,90,58.4
infected,rep3A,6,12,18,12,12,76,69,90.8
infected,rep3A,7,4,11,3,3,12,9,75
infected,rep3A,7,21,28,20,20,135,107,79.3
infected,rep3A,7,4,11,4,2,24,6,25
infected,rep3A,7,27,34,21,20,171,114,66.7
infected,rep3A,7,25,32,22,20,176,101,57.4
infected,rep3A,7,6,13,4,4,10,7,70
infected,rep3A,7,10,17,9,9,26,16,61.5
infected,rep3A,8,24,32,17,17,115,103,89.6
infected,rep3B,5,20,25,18,17,131,97,74
infected,rep3B,5,26,31,24,24,191,139,72.8
infected,rep3B,5,18,23,17,17,123,98,79.7
infected,rep3B,5,10,15,9,9,68,58,85.3
infected,rep3B,5,32,37,28,28,167,127,76
infected,rep3B,5,38,43,28,27,274,203,74.1
infected,rep3B,6,31,37,11,11,26,18,69.2
infected,rep3B,6,13,19,11,11,46,37,80.4
infected,rep3B,6,5,11,3,2,9,6,66.7
infected,rep3B,6,35,41,31,31,171,90,52.6
infected,rep3B,7,16,23,3,0,7,0,0
infected,rep3B,7,23,30,23,22,111,69,62.2
infected,rep3B,7,4,11,3,2,7,2,28.6
infected,rep3B,7,30,37,20,20,148,116,78.4
infected,rep3B,7,27,34,20,19,158,103,65.2
infected,rep3B,7,32,39,20,19,147,94,63.9
infected,rep3B,9,2,11,0,0,0,0,#¡DIV/0!
