repeticion,grupo,raton,semana,fecha,Viv1t,Mue1t,Viv2t,Mue2t,Viv3t,Mue3t,Viv4t,Mue4t,Viv5t,Mue5t,Vivmt,Muemt,Vivht,Mueht,Vivtt,Muett
piloto,infectado,2,47,02/02/2015,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,38
piloto,infectado,2,48,09/02/2015,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,38
piloto,infectado,2,49,16/02/2015,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,38
piloto,infectado,2,50,23/02/2015,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,38
piloto,infectado,2,51,02/03/2015,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,38
piloto,infectado,2,52,09/03/2015,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,39
piloto,infectado,2,53,16/03/2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,39
piloto,infectado,2,54,23/03/2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,39
piloto,infectado,2,55,30/03/2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40
piloto,infectado,3,0,10/03/2014,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
piloto,infectado,3,1,17/03/2014,8,1,30,1,0,0,0,0,0,0,0,0,0,0,38,2
piloto,infectado,3,2,24/03/2014,0,0,4,4,29,1,0,0,0,0,0,0,0,0,33,7
piloto,infectado,3,3,31/03/2014,0,0,0,0,17,1,15,0,0,0,0,0,0,0,32,8
piloto,infectado,3,4,07/04/2014,0,0,0,0,8,1,19,0,4,0,0,0,0,0,31,9
piloto,infectado,3,5,14/04/2014,0,0,0,0,5,1,17,1,7,0,0,0,0,0,29,11
piloto,infectado,3,6,21/04/2014,0,0,0,0,2,0,12,2,13,0,0,0,0,0,27,13
piloto,infectado,3,7,28/04/2014,0,0,0,0,2,0,8,0,15,1,1,0,0,0,26,14
piloto,infectado,3,8,05/05/2014,0,0,0,0,2,0,7,1,10,0,4,0,2,0,25,15
piloto,infectado,3,9,12/05/2014,0,0,0,0,2,0,7,0,7,0,6,0,3,0,25,15
piloto,infectado,3,10,19/05/2014,0,0,0,0,1,0,3,1,9,1,6,1,3,0,22,18
piloto,infectado,3,11,26/05/2014,0,0,0,0,0,0,4,0,6,0,7,0,5,0,22,18
piloto,infectado,3,12,02/06/2014,0,0,0,0,0,0,4,0,6,0,6,1,5,0,21,19
piloto,infectado,3,13,09/06/2014,0,0,0,0,0,0,2,1,3,1,7,0,7,0,19,21
piloto,infectado,3,14,16/06/2014,0,0,0,0,0,0,1,0,2,2,7,0,7,1,17,23
piloto,infectado,3,15,23/06/2014,0,0,0,0,0,0,0,0,2,1,5,2,7,0,14,26
piloto,infectado,3,16,30/06/2014,0,0,0,0,0,0,0,0,2,0,5,0,6,1,13,27
piloto,infectado,3,17,07/07/2014,0,0,0,0,0,0,0,0,2,0,5,0,5,1,12,28
piloto,infectado,3,18,14/07/2014,0,0,0,0,0,0,0,0,2,0,5,0,5,0,12,28
piloto,infectado,3,19,21/07/2014,0,0,0,0,0,0,0,0,2,0,5,0,4,1,11,29
piloto,infectado,3,20,28/07/2014,0,0,0,0,0,0,0,0,2,0,5,0,3,1,10,30
piloto,infectado,3,21,04/08/2014,0,0,0,0,0,0,0,0,2,0,5,0,3,0,10,30
piloto,infectado,3,22,11/08/2014,0,0,0,0,0,0,0,0,2,0,5,0,3,0,10,30
piloto,infectado,3,23,18/08/2014,0,0,0,0,0,0,0,0,1,1,5,0,3,0,9,31
piloto,infectado,3,24,25/08/2014,0,0,0,0,0,0,0,0,1,0,4,1,3,0,8,32
piloto,infectado,3,25,01/09/2014,0,0,0,0,0,0,0,0,1,0,4,0,3,0,8,32
piloto,infectado,3,26,08/09/2014,0,0,0,0,0,0,0,0,0,1,3,1,2,1,5,35
piloto,infectado,3,27,15/09/2014,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,35
piloto,infectado,3,28,22/09/2014,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,35
piloto,infectado,3,29,29/09/2014,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,35
piloto,infectado,3,30,06/10/2014,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,35
piloto,infectado,3,31,13/10/2014,0,0,0,0,0,0,0,0,0,0,3,0,1,1,4,36
piloto,infectado,3,32,20/10/2014,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,36
piloto,infectado,3,33,27/10/2014,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,36
piloto,infectado,3,34,03/11/2014,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,36
piloto,infectado,3,35,10/11/2014,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,37
piloto,infectado,3,36,17/11/2014,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,37
piloto,infectado,3,37,24/11/2014,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,37
piloto,infectado,3,38,01/12/2014,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,37
piloto,infectado,3,39,08/12/2014,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,37
piloto,infectado,3,40,15/12/2014,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,37
piloto,infectado,3,41,22/12/2014,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,37
piloto,infectado,3,42,29/12/2014,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,37
piloto,infectado,3,43,05/01/2015,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,37
piloto,infectado,3,44,12/01/2015,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,37
piloto,infectado,3,45,19/01/2015,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,38
piloto,infectado,3,46,26/01/2015,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,39
piloto,infectado,3,47,02/02/2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19
piloto,infectado,3,48,09/02/2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40
piloto,infectado,3,49,16/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
piloto,infectado,3,50,23/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
piloto,infectado,3,51,02/03/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
piloto,infectado,3,52,09/03/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
piloto,infectado,3,53,16/03/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
piloto,infectado,3,54,23/03/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
piloto,infectado,3,55,30/03/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
