repeticion,grupo,raton,semana,fecha,Viv1t,Mue1t,Viv2t,Mue2t,Viv3t,Mue3t,Viv4t,Mue4t,Viv5t,Mue5t,Vivmt,Muemt,Vivht,Mueht,Vivtt,Muett,
piloto,control,1,35,14/11/2014,0,0,0,0,0,0,3,0,2,0,1,0,1,0,7,33,
piloto,control,1,36,21/11/2014,0,0,0,0,0,0,3,0,2,0,1,0,1,0,7,33,
piloto,control,1,37,28/11/2014,0,0,0,0,0,0,3,0,1,0,1,0,2,0,7,33,
piloto,control,1,38,05/12/2014,0,0,0,0,0,0,3,0,1,0,1,0,2,0,7,33,
piloto,control,1,39,12/12/2014,0,0,0,0,0,0,3,0,1,0,1,0,2,0,7,33,
piloto,control,1,40,19/12/2014,0,0,0,0,0,0,3,0,1,0,1,0,2,0,7,33,
piloto,control,1,41,26/12/2014,0,0,0,0,0,0,2,1,1,0,1,0,2,0,6,34,
piloto,control,1,42,02/01/2015,0,0,0,0,0,0,2,0,1,0,1,0,2,0,6,34,
piloto,control,1,43,09/01/2015,0,0,0,0,0,0,2,0,1,0,1,0,2,0,6,34,
piloto,control,1,44,16/01/2015,0,0,0,0,0,0,2,0,1,0,1,0,2,0,6,34,
piloto,control,1,45,23/01/2015,0,0,0,0,0,0,1,1,0,0,1,0,3,0,5,35,
piloto,control,1,46,30/01/2015,0,0,0,0,0,0,1,0,0,0,1,0,3,0,5,35,
piloto,control,1,47,06/02/2015,0,0,0,0,0,0,0,1,0,0,1,0,3,0,4,36,
piloto,control,1,48,13/02/2015,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,36,
piloto,control,1,49,20/02/2015,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,36,
piloto,control,1,50,27/02/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,37,
piloto,control,1,51,06/03/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,control,1,52,13/03/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,control,1,53,20/03/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,control,1,54,27/03/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,control,1,55,03/04/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,control,1,56,10/04/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,control,1,57,17/04/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,control,1,58,24/04/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,control,1,59,01/05/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,control,1,60,04/05/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,control,1,61,11/05/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,control,1,62,18/05/2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,
piloto,infectado,2,0,14/03/2014,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,
piloto,infectado,2,1,21/03/2014,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,
piloto,infectado,2,2,28/03/2014,22,0,18,0,0,0,0,0,0,0,0,0,0,0,40,0,
piloto,infectado,2,3,04/04/2014,4,0,36,0,0,0,0,0,0,0,0,0,0,0,40,0,
piloto,infectado,2,4,11/04/2014,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40,0,
piloto,infectado,2,5,18/04/2014,0,0,26,0,14,0,0,0,0,0,0,0,0,0,40,0,
piloto,infectado,2,6,25/04/2014,0,0,18,1,21,0,0,0,0,0,0,0,0,0,39,1,
piloto,infectado,2,7,02/05/2014,0,0,8,0,31,0,0,0,0,0,0,0,0,0,39,1,
piloto,infectado,2,8,09/05/2014,0,0,3,0,35,0,1,0,0,0,0,0,0,0,39,1,
piloto,infectado,2,9,16/05/2014,0,0,1,0,35,0,3,0,0,0,0,0,0,0,39,1,
piloto,infectado,2,10,23/05/2014,0,0,0,0,21,0,18,0,0,0,0,0,0,0,39,1,
piloto,infectado,2,11,30/05/2014,0,0,0,0,16,0,23,0,0,0,0,0,0,0,39,1,
piloto,infectado,2,12,06/06/2014,0,0,0,0,14,0,25,0,0,0,0,0,0,0,39,1,
piloto,infectado,2,13,13/06/2014,0,0,0,0,11,0,28,0,0,0,0,0,0,0,39,1,
piloto,infectado,2,14,20/06/2014,0,0,0,0,10,1,28,0,0,0,0,0,0,0,38,2,
piloto,infectado,2,15,27/06/2014,0,0,0,0,8,1,29,0,0,0,0,0,0,0,37,3,
piloto,infectado,2,16,04/07/2014,0,0,0,0,8,0,28,0,1,0,0,0,0,0,37,3,
piloto,infectado,2,17,11/07/2014,0,0,0,0,7,0,27,0,3,0,0,0,0,0,37,3,
piloto,infectado,2,18,18/07/2014,0,0,0,0,6,0,26,1,4,0,0,0,0,0,36,4,
piloto,infectado,2,19,25/07/2014,0,0,0,0,3,3,24,2,4,0,0,0,0,0,31,9,
piloto,infectado,2,20,01/08/2014,0,0,0,0,1,2,22,2,4,0,0,0,0,0,27,13,
piloto,infectado,2,21,08/08/2014,0,0,0,0,1,0,21,0,5,0,0,0,0,0,27,13,
piloto,infectado,2,22,15/08/2014,0,0,0,0,1,0,19,1,6,0,0,0,0,0,26,14,
piloto,infectado,2,23,22/08/2014,0,0,0,0,1,0,15,4,5,1,0,0,0,0,21,19,
piloto,infectado,2,24,29/08/2014,0,0,0,0,1,0,14,1,4,0,0,0,0,0,19,21,
piloto,infectado,2,25,05/09/2014,0,0,0,0,1,0,13,0,5,0,0,0,0,0,19,21,
piloto,infectado,2,26,12/09/2014,0,0,0,0,1,0,12,1,5,0,0,0,0,0,18,22,
piloto,infectado,2,27,19/09/2014,0,0,0,0,1,0,10,0,7,0,0,0,0,0,18,22,
piloto,infectado,2,28,26/09/2014,0,0,0,0,1,0,10,0,7,0,0,0,0,0,18,22,
piloto,infectado,2,29,03/10/2014,0,0,0,0,1,0,10,0,6,0,1,0,0,0,18,22,
piloto,infectado,2,30,10/10/2014,0,0,0,0,0,0,11,0,6,0,1,0,0,0,18,22,
piloto,infectado,2,31,17/10/2014,0,0,0,0,0,0,11,0,4,0,1,0,2,0,18,22,
piloto,infectado,2,32,24/10/2014,0,0,0,0,0,0,11,0,3,0,2,0,2,0,18,22,
piloto,infectado,2,33,31/10/2014,0,0,0,0,0,0,10,1,3,0,2,0,2,0,17,23,
piloto,infectado,2,34,07/11/2014,0,0,0,0,0,0,10,0,2,0,3,0,2,0,17,23,
piloto,infectado,2,35,14/11/2014,0,0,0,0,0,0,9,1,1,0,4,0,2,0,16,24,
piloto,infectado,2,36,21/11/2014,0,0,0,0,0,0,9,0,1,0,4,0,2,0,16,24,
piloto,infectado,2,37,28/11/2014,0,0,0,0,0,0,9,0,1,0,4,0,2,0,16,24,
piloto,infectado,2,38,05/12/2014,0,0,0,0,0,0,6,2,2,0,4,0,2,0,14,26,
piloto,infectado,2,39,12/12/2014,0,0,0,0,0,0,6,0,2,0,4,0,2,0,14,26,
piloto,infectado,2,40,19/12/2014,0,0,0,0,0,0,3,3,2,0,2,0,4,0,11,29,
piloto,infectado,2,41,26/12/2014,0,0,0,0,0,0,1,2,1,0,2,0,5,0,9,31,
piloto,infectado,2,42,02/01/2015,0,0,0,0,0,0,1,0,1,0,2,0,5,0,9,31,
piloto,infectado,2,43,09/01/2015,0,0,0,0,0,0,1,0,1,0,2,0,5,0,9,31,
piloto,infectado,2,44,16/01/2015,0,0,0,0,0,0,1,0,1,0,2,0,5,0,9,31,
piloto,infectado,2,45,23/01/2015,0,0,0,0,0,0,1,0,1,0,2,0,5,0,9,31,
piloto,infectado,2,46,30/01/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,47,06/02/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,48,13/02/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,49,20/02/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,50,27/02/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,51,06/03/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,52,13/03/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,53,20/03/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,54,27/03/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,55,03/04/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,56,10/04/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,57,17/04/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,58,24/04/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,59,01/05/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,60,04/05/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,61,11/05/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,2,62,18/05/2015,0,0,0,0,0,0,0,0,1,0,3,0,5,0,9,31,
piloto,infectado,3,0,14/03/2014,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,
piloto,infectado,3,1,21/03/2014,38,0,2,0,0,0,0,0,0,0,0,0,0,0,40,0,
piloto,infectado,3,2,28/03/2014,19,0,21,0,0,0,0,0,0,0,0,0,0,0,40,0,
piloto,infectado,3,3,04/04/2014,10,0,30,0,0,0,0,0,0,0,0,0,0,0,40,0,
piloto,infectado,3,4,11/04/2014,0,2,38,0,0,0,0,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,5,18/04/2014,0,0,27,0,11,0,0,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,6,25/04/2014,0,0,17,0,21,0,0,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,7,02/05/2014,0,0,4,0,34,0,0,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,8,09/05/2014,0,0,4,0,34,0,0,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,9,16/05/2014,0,0,1,0,34,0,3,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,10,23/05/2014,0,0,1,0,23,0,14,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,11,30/05/2014,0,0,1,0,18,0,19,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,12,06/06/2014,0,0,1,0,17,0,20,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,13,13/06/2014,0,0,1,0,14,0,23,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,14,20/06/2014,0,0,1,0,9,0,28,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,15,27/06/2014,0,0,1,0,9,0,28,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,16,04/07/2014,0,0,1,0,7,0,30,0,0,0,0,0,0,0,38,2,
piloto,infectado,3,17,11/07/2014,0,0,1,0,7,0,29,0,1,0,0,0,0,0,38,2,
piloto,infectado,3,18,18/07/2014,0,0,1,0,7,0,28,0,2,0,0,0,0,0,38,2,
piloto,infectado,3,19,25/07/2014,0,0,0,1,6,1,28,0,2,0,0,0,0,0,36,4,
piloto,infectado,3,20,01/08/2014,0,0,0,0,6,0,28,0,1,1,0,0,0,0,35,5,
piloto,infectado,3,21,08/08/2014,0,0,0,0,5,0,27,1,2,0,0,0,0,0,34,6,
piloto,infectado,3,22,15/08/2014,0,0,0,0,5,0,26,0,2,0,0,0,1,0,34,6,
piloto,infectado,3,23,22/08/2014,0,0,0,0,3,0,23,1,6,0,0,0,1,0,33,7,
piloto,infectado,3,24,29/08/2014,0,0,0,0,3,0,21,2,6,0,0,0,1,0,31,9,
piloto,infectado,3,25,05/09/2014,0,0,0,0,2,1,20,0,7,0,0,0,1,0,30,10,
piloto,infectado,3,26,12/09/2014,0,0,0,0,2,0,20,0,6,0,1,0,1,0,30,10,
piloto,infectado,3,27,19/09/2014,0,0,0,0,1,1,17,2,7,0,1,0,1,0,27,13,
piloto,infectado,3,28,26/09/2014,0,0,0,0,1,0,17,0,7,0,1,0,1,0,27,13,
piloto,infectado,3,29,03/10/2014,0,0,0,0,1,0,16,1,5,0,2,0,2,0,26,14,
piloto,infectado,3,30,10/10/2014,0,0,0,0,0,1,15,1,3,0,3,0,3,0,24,12,
piloto,infectado,3,31,17/10/2014,0,0,0,0,0,0,14,1,2,0,3,0,4,0,23,17,
piloto,infectado,3,32,24/10/2014,0,0,0,0,0,0,14,0,2,0,3,0,4,0,23,17,
piloto,infectado,3,33,31/10/2014,0,0,0,0,0,0,14,0,2,0,3,0,4,0,23,17,
piloto,infectado,3,34,07/11/2014,0,0,0,0,0,0,12,1,2,0,3,0,5,0,22,18,
piloto,infectado,3,35,14/11/2014,0,0,0,0,0,0,11,1,2,0,3,0,5,0,21,19,
piloto,infectado,3,36,21/11/2014,0,0,0,0,0,0,8,1,3,1,3,0,5,0,19,21,
piloto,infectado,3,37,28/11/2014,0,0,0,0,0,0,7,0,3,1,3,0,5,0,18,22,
piloto,infectado,3,38,05/12/2014,0,0,0,0,0,0,7,0,2,1,3,0,5,0,17,23,
piloto,infectado,3,39,12/12/2014,0,0,0,0,0,0,7,0,2,0,3,0,5,0,17,23,
piloto,infectado,3,40,19/12/2014,0,0,0,0,0,0,7,0,2,0,3,0,5,0,17,23,
piloto,infectado,3,41,26/12/2014,0,0,0,0,0,0,6,1,1,0,3,0,6,0,16,24,
piloto,infectado,3,42,02/01/2015,0,0,0,0,0,0,6,0,1,0,3,0,6,0,16,24,
piloto,infectado,3,43,09/01/2015,0,0,0,0,0,0,6,0,1,0,3,0,6,0,16,24,
piloto,infectado,3,44,16/01/2015,0,0,0,0,0,0,6,0,1,0,3,0,6,0,16,24,
piloto,infectado,3,45,23/01/2015,0,0,0,0,0,0,5,1,1,0,3,0,6,0,15,25,
piloto,infectado,3,46,30/01/2015,0,0,0,0,0,0,4,1,0,0,4,0,6,0,14,26,
piloto,infectado,3,47,06/02/2015,0,0,0,0,0,0,4,0,0,0,4,0,6,0,14,26,
piloto,infectado,3,48,13/02/2015,0,0,0,0,0,0,3,1,0,0,4,0,6,0,13,27,
piloto,infectado,3,49,20/02/2015,0,0,0,0,0,0,3,0,0,0,4,0,6,0,13,27,
piloto,infectado,3,50,27/02/2015,0,0,0,0,0,0,2,1,0,0,4,0,6,0,12,28,
piloto,infectado,3,51,06/03/2015,0,0,0,0,0,0,2,0,0,0,4,0,6,0,12,28,
piloto,infectado,3,52,13/03/2015,0,0,0,0,0,0,2,0,0,0,4,0,6,0,12,28,
piloto,infectado,3,53,20/03/2015,0,0,0,0,0,0,1,1,0,0,4,0,6,0,11,29,
piloto,infectado,3,54,27/03/2015,0,0,0,0,0,0,1,0,0,0,4,0,6,0,11,29,
piloto,infectado,3,55,03/04/2015,0,0,0,0,0,0,1,0,0,0,4,0,6,0,11,29,
piloto,infectado,3,56,10/04/2015,0,0,0,0,0,0,1,0,0,0,4,0,6,0,11,29,
piloto,infectado,3,57,17/04/2015,0,0,0,0,0,0,1,0,0,0,4,0,6,0,11,29,
piloto,infectado,3,58,24/04/2015,0,0,0,0,0,0,1,0,0,0,4,0,6,0,11,29,
piloto,infectado,3,59,01/05/2015,0,0,0,0,0,0,1,0,0,0,4,0,6,0,11,29,
piloto,infectado,3,60,04/05/2015,0,0,0,0,0,0,0,0,0,0,4,0,6,0,10,30,
piloto,infectado,3,61,11/05/2015,0,0,0,0,0,0,0,0,0,0,4,0,6,0,10,30,
piloto,infectado,3,62,18/05/2015,0,0,0,0,0,0,0,0,0,0,4,0,6,0,10,30,
