dia_post_exp,codigo_trat,tratamiento,estadio,nro_insectos,vivo,caido,muerto,responsable
11,CX6,INSECTICIDA,cimex,20,20,0,0,20
11,CX7,INSECTICIDA,cimex,20,5,3,12,20
11,CX8,INSECTICIDA,cimex,20,3,6,11,20
11,CX9,INSECTICIDA,cimex,20,6,5,9,20
11,CX10,INSECTICIDA,cimex,19,10,3,6,19
11,CX13,INSECTICIDA,cimex,20,9,5,6,20
12,CX1,BLANCO,cimex,18,16,0,2,18
12,CX2,BLANCO,cimex,20,17,0,3,20
12,CX6,BLANCO,cimex,20,20,0,0,20
12,CX7,BLANCO,cimex,20,17,0,3,20
12,CX8,BLANCO,cimex,20,16,0,4,20
12,CX9,BLANCO,cimex,19,14,0,5,19
12,CX10,BLANCO,cimex,20,17,0,3,20
12,CX13,BLANCO,cimex,20,18,0,2,20
12,CX1,INSECTICIDA,cimex,20,16,0,4,20
12,CX2,INSECTICIDA,cimex,20,11,4,5,20
12,CX6,INSECTICIDA,cimex,20,20,0,0,20
12,CX7,INSECTICIDA,cimex,20,4,4,12,20
12,CX8,INSECTICIDA,cimex,20,3,2,15,20
12,CX9,INSECTICIDA,cimex,20,6,0,14,20
12,CX10,INSECTICIDA,cimex,19,9,1,9,19
12,CX13,INSECTICIDA,cimex,20,5,9,6,20
13,CX1,BLANCO,cimex,18,15,0,3,18
13,CX2,BLANCO,cimex,20,17,0,3,20
13,CX6,BLANCO,cimex,20,20,0,0,20
13,CX7,BLANCO,cimex,20,15,0,5,20
13,CX8,BLANCO,cimex,20,14,0,6,20
13,CX9,BLANCO,cimex,19,13,0,6,19
13,CX10,BLANCO,cimex,20,15,0,5,20
13,CX13,BLANCO,cimex,20,18,0,2,20
13,CX1,INSECTICIDA,cimex,20,14,2,4,20
13,CX2,INSECTICIDA,cimex,20,8,6,6,20
13,CX6,INSECTICIDA,cimex,20,19,1,0,20
13,CX7,INSECTICIDA,cimex,20,4,4,12,20
13,CX8,INSECTICIDA,cimex,20,3,2,15,20
13,CX9,INSECTICIDA,cimex,20,4,2,14,20
13,CX10,INSECTICIDA,cimex,19,9,1,9,19
13,CX13,INSECTICIDA,cimex,20,4,10,6,20
14,CX1,BLANCO,cimex,18,14,0,4,18
14,CX2,BLANCO,cimex,20,16,0,4,20
14,CX6,BLANCO,cimex,20,20,0,0,20
14,CX7,BLANCO,cimex,20,14,0,6,20
14,CX8,BLANCO,cimex,20,12,0,8,20
14,CX9,BLANCO,cimex,19,13,0,6,19
14,CX10,BLANCO,cimex,20,15,0,5,20
14,CX13,BLANCO,cimex,20,18,0,2,20
14,CX1,INSECTICIDA,cimex,20,12,4,4,20
14,CX2,INSECTICIDA,cimex,20,10,2,8,20
14,CX6,INSECTICIDA,cimex,20,19,1,0,20
14,CX7,INSECTICIDA,cimex,20,3,1,16,20
14,CX8,INSECTICIDA,cimex,20,2,3,15,20
14,CX9,INSECTICIDA,cimex,20,4,2,14,20
14,CX10,INSECTICIDA,cimex,19,9,1,9,19
14,CX13,INSECTICIDA,cimex,20,4,2,14,20
15,CX1,BLANCO,cimex,18,14,0,4,18
15,CX2,BLANCO,cimex,20,16,0,4,20
15,CX6,BLANCO,cimex,20,20,0,0,20
15,CX7,BLANCO,cimex,20,12,0,8,20
15,CX8,BLANCO,cimex,20,10,0,10,20
15,CX9,BLANCO,cimex,19,13,0,6,19
15,CX10,BLANCO,cimex,20,13,0,7,20
15,CX13,BLANCO,cimex,20,18,0,2,20
15,CX1,INSECTICIDA,cimex,20,11,0,9,20
15,CX2,INSECTICIDA,cimex,20,9,2,9,20
15,CX6,INSECTICIDA,cimex,20,19,0,1,20
15,CX7,INSECTICIDA,cimex,20,3,1,16,18
15,CX8,INSECTICIDA,cimex,20,2,0,18,20
15,CX9,INSECTICIDA,cimex,20,4,0,16,20
15,CX10,INSECTICIDA,cimex,19,9,0,10,19
15,CX13,INSECTICIDA,cimex,20,4,1,15,20
16,CX1,BLANCO,cimex,18,13,0,5,18
16,CX2,BLANCO,cimex,20,16,0,4,20
16,CX6,BLANCO,cimex,20,20,0,0,20
16,CX7,BLANCO,cimex,20,10,0,10,20
16,CX8,BLANCO,cimex,20,10,0,10,20
16,CX9,BLANCO,cimex,19,13,0,6,19
16,CX10,BLANCO,cimex,20,13,0,7,20
16,CX13,BLANCO,cimex,20,18,0,2,20
16,CX1,INSECTICIDA,cimex,20,11,0,9,20
16,CX2,INSECTICIDA,cimex,20,6,5,9,20
16,CX6,INSECTICIDA,cimex,20,18,1,1,20
16,CX7,INSECTICIDA,cimex,20,1,3,16,18
16,CX8,INSECTICIDA,cimex,20,2,0,18,20
16,CX9,INSECTICIDA,cimex,20,3,1,16,20
16,CX10,INSECTICIDA,cimex,19,9,0,10,19
16,CX13,INSECTICIDA,cimex,20,4,0,16,20
17,CX1,BLANCO,cimex,18,13,0,5,18
17,CX2,BLANCO,cimex,20,16,0,4,20
17,CX6,BLANCO,cimex,20,20,0,0,20
17,CX7,BLANCO,cimex,20,9,0,11,20
17,CX8,BLANCO,cimex,20,10,0,10,20
17,CX9,BLANCO,cimex,19,13,0,6,19
17,CX10,BLANCO,cimex,20,13,0,7,20
17,CX13,BLANCO,cimex,20,18,0,2,20
17,CX1,INSECTICIDA,cimex,20,11,0,9,20
17,CX2,INSECTICIDA,cimex,20,6,5,9,20
17,CX6,INSECTICIDA,cimex,20,17,2,1,20
17,CX7,INSECTICIDA,cimex,20,1,2,17,18
17,CX8,INSECTICIDA,cimex,20,2,0,18,20
17,CX9,INSECTICIDA,cimex,20,3,1,16,20
17,CX10,INSECTICIDA,cimex,19,9,0,10,19
17,CX13,INSECTICIDA,cimex,20,4,0,16,20
18,CX1,BLANCO,cimex,18,13,0,5,18
18,CX2,BLANCO,cimex,20,15,0,5,20
18,CX6,BLANCO,cimex,20,20,0,0,20
18,CX7,BLANCO,cimex,20,9,0,11,0
18,CX8,BLANCO,cimex,20,8,0,12,20
18,CX9,BLANCO,cimex,19,10,0,9,19
18,CX10,BLANCO,cimex,20,13,0,7,20
18,CX13,BLANCO,cimex,20,18,0,2,0
18,CX1,INSECTICIDA,cimex,20,11,0,9,20
18,CX2,INSECTICIDA,cimex,20,5,1,14,20
18,CX6,INSECTICIDA,cimex,20,17,0,3,20
18,CX7,INSECTICIDA,cimex,20,1,2,17,18
18,CX8,INSECTICIDA,cimex,20,2,0,18,20
18,CX9,INSECTICIDA,cimex,20,3,0,17,20
18,CX10,INSECTICIDA,cimex,19,8,1,10,19
18,CX13,INSECTICIDA,cimex,20,4,0,16,20
19,CX1,BLANCO,cimex,18,13,0,5,18
19,CX2,BLANCO,cimex,20,15,0,5,20
19,CX6,BLANCO,cimex,20,19,0,1,20
19,CX7,BLANCO,cimex,20,9,0,11,0
19,CX8,BLANCO,cimex,20,7,0,13,20
19,CX9,BLANCO,cimex,19,10,0,9,19
19,CX10,BLANCO,cimex,20,13,0,7,20
19,CX13,BLANCO,cimex,20,18,0,2,0
19,CX1,INSECTICIDA,cimex,20,11,0,9,20
19,CX2,INSECTICIDA,cimex,20,5,1,14,20
19,CX6,INSECTICIDA,cimex,20,16,0,4,20
19,CX7,INSECTICIDA,cimex,20,1,0,19,14
19,CX8,INSECTICIDA,cimex,20,1,1,18,20
19,CX9,INSECTICIDA,cimex,20,3,0,17,20
19,CX10,INSECTICIDA,cimex,19,8,1,10,19
19,CX13,INSECTICIDA,cimex,20,4,0,16,16
20,CX1,BLANCO,cimex,18,13,0,5,18
20,CX2,BLANCO,cimex,20,14,0,6,20
20,CX6,BLANCO,cimex,20,19,0,1,20
20,CX7,BLANCO,cimex,20,9,0,11,0
20,CX8,BLANCO,cimex,20,6,0,14,20
20,CX9,BLANCO,cimex,19,7,0,12,19
20,CX10,BLANCO,cimex,20,11,0,9,20
20,CX13,BLANCO,cimex,20,18,0,2,0
20,CX1,INSECTICIDA,cimex,20,10,1,9,20
20,CX2,INSECTICIDA,cimex,20,5,0,15,20
20,CX6,INSECTICIDA,cimex,20,14,1,5,20
20,CX7,INSECTICIDA,cimex,20,1,0,19,14
20,CX8,INSECTICIDA,cimex,20,1,0,19,20
20,CX9,INSECTICIDA,cimex,20,3,0,17,20
20,CX10,INSECTICIDA,cimex,19,8,1,10,19
20,CX13,INSECTICIDA,cimex,20,3,1,16,16
21,CX1,BLANCO,cimex,18,13,0,5,17
21,CX2,BLANCO,cimex,20,13,0,7,20
21,CX6,BLANCO,cimex,20,18,0,2,20
21,CX7,BLANCO,cimex,20,9,0,11,0
21,CX8,BLANCO,cimex,20,6,0,14,20
21,CX9,BLANCO,cimex,19,5,0,14,19
21,CX10,BLANCO,cimex,20,10,0,10,20
21,CX13,BLANCO,cimex,20,18,0,2,0
21,CX1,INSECTICIDA,cimex,20,9,1,10,20
21,CX2,INSECTICIDA,cimex,20,5,0,15,20
21,CX6,INSECTICIDA,cimex,20,13,1,6,20
21,CX7,INSECTICIDA,cimex,20,1,0,19,14
21,CX8,INSECTICIDA,cimex,20,1,0,19,20
21,CX9,INSECTICIDA,cimex,20,3,0,17,20
21,CX10,INSECTICIDA,cimex,19,8,0,11,19
21,CX13,INSECTICIDA,cimex,20,3,0,17,16
