INSECT,STAGE,2015-09-11,2015-09-12,2015-09-13,2015-09-18,2015-09-25,2015-10-02,2015-10-09,NOTES,
01H-CO-1-10,5,A,A,A,A,A,A,,,
01H-CO-1-11,4,A,A,A,A,A,A,,,
01H-CO-1-12,AF,A,A,A,A,A,A,,"2 eggs on 9/18, 2 1st instars",
01H-CO-2-01,4,A,A,A,A,A,A,,,
01H-CO-2-02,4,A,A,A,A,A,A,,,
01H-CO-2-03,AM,A,A,A,A,A,A,,,
01H-CO-2-04,AM,A,A,A,A,A,A,,,
01H-CO-2-05,5,A,A,A,A,A,A,,,
01H-CO-2-06,4,A,A,A,A,A,A,,,
01H-CO-2-07,AF,A,A,A,A,A,A,,Molting on 9/12,
01H-CO-2-08,AM,A,A,A,A,A,A,,,
01H-CO-2-09,5,A,A,A,A,A,A,,,
01H-CO-2-10,5,A,A,A,A,A,A,,,
01H-CO-2-11,5,A,A,A,A,A,A,,,
01H-CO-2-12,AF,A,A,A,A,A,A,,,
01H-CO-3-01,5,A,A,A,A,A,A,,,
01H-CO-3-02,5,A,A,A,A,A,A,,,
01H-CO-3-03,AF,A,A,A,A,A,A,,2 eggs and 1st instars on 9/18,
01H-CO-3-04,AM,A,A,A,A,A,A,,,
01H-CO-3-05,5,A,A,A,A,A,A,,,
01H-CO-3-06,5,A,A,A,A,A,A,,,
01H-CO-3-07,AM,A,A,A,A,A,A,,,
01H-CO-3-08,5,A,A,A,A,A,A,,,
01H-CO-3-09,AF,A,A,A,A,A,A,,,
01H-CO-3-10,5,A,A,A,A,A,A,,,
01H-CO-3-11,AF,A,A,A,A,A,A,,2 eggs and 1st instars on 9/18,
01H-CO-3-12,5,A,A,A,A,A,A,,,
01H-CO-4-01,5,A,A,A,A,A,A,,,
01H-CO-4-02,5,A,A,A,A,A,A,,,
01H-CO-4-03,5,A,A,A,A,A,A,,,
01H-CO-4-04,5,A,A,A,A,A,A,,,
01H-CO-4-05,AM,A,A,A,A,A,A,,,
01H-CO-4-06,AM,A,A,A,A,A,A,,,
01H-CO-4-07,5,A,A,A,A,A,A,,,
01H-CO-4-08,5,A,A,A,A,A,A,,,
01H-CO-4-09,AM,A,A,A,A,A,A,,,
01H-CO-4-10,AM,A,A,A,A,A,A,,,
01H-CO-4-11,5,A,A,A,A,A,A,,,
01H-CO-4-12,5,A,A,A,A,A,A,,,
03H-5A-1-01,5,K,A,A,A,A,A,A,,
03H-5A-1-02,5,K,K,K,K,K,D,D,,
03H-5A-1-03,AM,K,K,K,D,D,D,D,,
03H-5A-1-04,AM,K,A,A,A,A,A,A,,
03H-5A-1-05,AF,K,K,K,D,D,D,D,,
03H-5A-1-06,5,K,A,A,A,A,D,D,,
03H-5A-1-07,5,K,D,K,D,D,D,D,,
03H-5A-1-08,5,K,A,A,A,A,A,A,,
03H-5A-1-09,5,K,A,A,A,A,A,A,,
03H-5A-1-10,5,K,K,K,A,A,A,A,,
03H-5A-1-11,5,K,D,K,K,A,A,A,,
03H-5A-1-12,AM,D,K,K,D,D,D,D,,6
03H-5A-2-01,5,D,K,K,A,A,A,A,,
03H-5A-2-02,5,K,K,A,A,A,A,A,,
03H-5A-2-03,AF,K,K,A,A,A,A,A,"4 eggs on 9/18, 4 1st instar hatched 9/25",
03H-5A-2-04,AF,K,K,K,A,A,K,K,,
03H-5A-2-05,5,K,K,K,A,A,A,D,,
03H-5A-2-06,4,K,K,A,A,A,A,A,,
03H-5A-2-07,5,K,K,A,A,A,A,A,,
03H-5A-2-08,5,K,K,K,D,D,D,D,,
03H-5A-2-09,5,K,K,K,K,A,D,D,,
03H-5A-2-10,5,D,K,D,D,D,D,D,,
03H-5A-2-11,5,D,K,A,A,A,A,A,,
03H-5A-2-12,4,K,K,D,D,D,D,D,,11
03H-5A-3-01,4,K,D,D,D,D,D,D,,
03H-5A-3-02,5,K,K,K,D,K,D,K,,
03H-5A-3-03,4,D,D,A,A,A,A,D,,
03H-5A-3-04,5,K,K,A,A,A,A,A,,
03H-5A-3-05,AF,K,K,D,D,D,D,D,,
03H-5A-3-06,AM/5,K,K,A,A,A,A,A,Molting on 9/18,
03H-5A-3-07,AF,K,K,K,D,D,D,D,,
03H-5A-3-08,AM,K,K,K,D,D,D,D,,
03H-5A-3-09,4,K,K,D,D,D,D,D,,
03H-5A-3-10,AM,K,K,D,D,D,D,D,,
03H-5A-3-11,4,K,D,D,D,D,D,D,,
03H-5A-3-12,5,K,K,A,A,A,A,A,,19
03H-5A-4-01,5,K,K,K,A,K,A,K,,
03H-5A-4-02,AM,K,K,K,D,D,D,D,,
03H-5A-4-03,5,K,A,A,A,A,A,A,,
03H-5A-4-04,5,D,K,K,D,D,D,D,,
03H-5A-4-05,5,K,K,D,D,D,D,D,,
03H-5A-4-06,5,K,A,A,A,A,A,A,,
03H-5A-4-07,5,K,A,A,A,A,A,A,,
03H-5A-4-08,5,K,K,K,A,A,A,A,9/13 looks squished,
03H-5A-4-09,4,K,K,D,D,D,D,D,,
03H-5A-4-10,5,D,D,K,D,D,D,D,,
03H-5A-4-11,5,D,K,A,A,A,A,A,,
03H-5A-4-12,4,K,D,D,D,D,D,D,,25
03H-CO-1-01,AF,A,A,A,A,A,A,A,,
03H-CO-1-02,AM,A,A,A,A,A,D,D,,
03H-CO-1-03,AF,A,A,A,A,A,A,A,,
03H-CO-1-04,5,A,A,A,A,A,A,A,,
03H-CO-1-05,AM,A,A,A,A,A,A,A,,
03H-CO-1-06,AM,A,A,A,A,A,A,A,,
03H-CO-1-07,5,A,A,A,A,A,A,A,,
03H-CO-1-08,AM,A,A,A,A,A,A,A,,
03H-CO-1-09,AF,A,A,A,A,A,A,A,,
03H-CO-1-10,AF,A,A,A,A,A,A,A,"9/25 alive 1, 1st instar",
03H-CO-1-11,5,A,A,A,A,A,A,A,,
03H-CO-1-12,AF,A,A,A,A,A,A,A,2 eggs and instar on 9/18,
03H-CO-2-01,4,A,A,A,A,A,A,A,,
03H-CO-2-02,5,A,D,D,D,D,D,D,,
03H-CO-2-03,AF,A,A,A,A,A,A,A,,
03H-CO-2-04,AM,A,A,A,A,A,A,A,Melting on 9/12,
03H-CO-2-05,AM,A,A,A,A,A,A,A,,
03H-CO-2-06,5,A,A,A,A,A,A,A,,
03H-CO-2-07,5,A,D,D,D,D,D,D,died In molt on 9/12,
03H-CO-2-08,4,A,A,A,A,A,A,A,,
03H-CO-2-09,5,A,A,A,A,A,A,A,,
03H-CO-2-10,5,A,A,A,A,A,A,A,,
03H-CO-2-11,5,A,A,A,A,A,A,A,,
03H-CO-2-12,5,A,A,A,A,A,A,A,,
03H-CO-3-01,5,A,A,A,A,A,A,A,,
03H-CO-3-02,F,A,A,A,A,A,A,D,,
03H-CO-3-03,F,A,A,A,A,A,A,A,,
03H-CO-3-04,5,A,A,A,A,A,A,A,1 egg 9/25 and 1st instar,
03H-CO-3-05,5,A,A,A,A,A,A,A,,
03H-CO-3-06,5,A,A,A,A,A,A,D,,
03H-CO-3-07,5,A,A,A,A,A,A,A,,
03H-CO-3-08,AF,A,A,A,A,A,A,A,2 eggs on 9/18,
03H-CO-3-09,4,A,A,A,A,A,A,A,,
03H-CO-3-10,5,A,A,A,A,A,A,A,,
03H-CO-3-11,AM,A,A,A,A,A,A,A,,
03H-CO-3-12,5,A,A,A,A,A,A,A,,
03H-CO-4-01,AM,A,A,A,A,A,A,A,,
03H-CO-4-02,5,A,A,A,A,A,A,A,,
03H-CO-4-03,4,A,A,A,A,A,A,A,,
03H-CO-4-04,5,A,A,A,A,A,A,A,,
03H-CO-4-05,5,A,A,A,A,A,A,A,,
03H-CO-4-06,AF,A,A,A,A,A,A,A,"1, 1st instar, 2 eggs laid 10/2",
03H-CO-4-07,AM,A,A,A,A,A,A,A,,
03H-CO-4-08,5,A,A,A,A,A,A,A,,
03H-CO-4-09,AF,A,A,A,A,A,A,A,,
03H-CO-4-10,5,A,A,A,A,A,A,A,,
03H-CO-4-11,5,A,A,A,A,A,A,A,,
03H-CO-4-12,5,A,A,A,A,A,A,A,,
06H-5A-1-01,AM,K,K,D,D,D,D,D,,
06H-5A-1-02,5,K,K,K,A,K,D,D,,
06H-5A-1-03,AF,K,K,K,D,D,D,D,,
06H-5A-1-04,5,K,K,K,A,A,A,A,,
06H-5A-1-05,4,D,K,K,A,A,K,K,,
06H-5A-1-06,4,K,K,K,A,A,K,D,,
06H-5A-1-07,5,K,K,A,A,A,A,A,molt 9/25,
06H-5A-1-08,5,K,K,A,A,A,A,A,,
06H-5A-1-09,5,K,K,K,D,D,D,D,,
06H-5A-1-10,5,K,K,K,K,K,A,A,,
06H-5A-1-11,5,K,K,D,D,D,D,D,,
06H-5A-1-12,AM,K,K,K,K,D,D,D,,
06H-5A-2-01,5,D,D,D,D,D,D,D,,
06H-5A-2-02,5,D,D,A,A,A,A,A,,
06H-5A-2-03,5,K,K,D,D,D,D,D,,
06H-5A-2-04,5,A,K,K,K,D,D,D,,
06H-5A-2-05,5,K,K,K,K,K,K,A,,
06H-5A-2-06,4,D,A,A,A,A,A,A,,
06H-5A-2-07,AF,K,K,K,K,D,D,D,,
06H-5A-2-08,5,K,A,A,A,A,A,A,,
06H-5A-2-09,5,K,A,A,A,A,A,A,,
06H-5A-2-10,5,D,K,K,K,D,D,D,,
06H-5A-2-11,AF,K,K,K,K,D,D,D,,
06H-5A-2-12,5,K,K,K,D,D,D,D,,
06H-5A-3-01,AF,K,K,K,K,A,A,A,,
06H-5A-3-02,5,K,K,K,D,D,D,D,,
06H-5A-3-03,5,K,K,K,K,A,A,D,,
06H-5A-3-04,AM,K,K,K,D,D,D,D,,
06H-5A-3-05,AF,K,K,D,D,D,D,D,,
06H-5A-3-06,AF,K,K,K,D,D,D,D,,
06H-5A-3-07,5,K,K,K,K,A,A,D,,
06H-5A-3-08,AF,K,K,K,A,A,A,A,,
06H-5A-3-09,5,K,A,A,A,A,A,A,,
06H-5A-3-10,AM,K,K,K,D,D,D,D,,
06H-5A-3-11,4,K,K,K,K,D,D,D,,
06H-5A-3-12,4,K,K,A,A,A,A,A,,
06H-5A-4-01,5,K,K,K,D,D,D,D,,
06H-5A-4-02,5,K,K,K,D,D,D,D,,
06H-5A-4-03,AF,K,K,K,D,D,D,D,,
06H-5A-4-04,AF,K,K,K,D,D,D,D,,
06H-5A-4-05,5,K,A,A,K,K,D,D,,
06H-5A-4-06,AM,K,K,K,D,D,D,D,,
06H-5A-4-07,AF,K,K,D,D,D,D,D,,
06H-5A-4-08,AM,K,K,K,D,D,D,D,,
06H-5A-4-09,5,K,K,K,K,K,K,A,,
06H-5A-4-10,AM,K,K,K,K,K,D,D,,
06H-5A-4-11,AM,K,K,K,D,D,D,D,,
06H-5A-4-12,5,K,K,K,D,D,D,D,,
06H-CO-1-01,AF,A,A,A,A,A,A,A,"3 eggs on 9/18, end with 4, 1st instar",
06H-CO-1-02,5,A,A,A,A,A,A,A,,
06H-CO-1-03,5,A,A,A,A,A,A,A,,
06H-CO-1-04,5,A,A,A,A,A,A,A,,
06H-CO-1-05,5,A,A,A,A,A,A,A,,
06H-CO-1-06,AF,A,A,A,A,A,A,A,,
06H-CO-1-07,5,A,A,A,A,A,D,D,,
06H-CO-1-08,AF,A,A,A,A,A,A,A,,
06H-CO-1-09,4,A,A,A,A,A,A,A,,
06H-CO-1-10,5,A,A,A,A,A,A,A,,
06H-CO-1-11,5,A,A,A,A,A,A,A,,
06H-CO-1-12,5,A,A,A,A,A,A,A,,
06H-CO-2-01,AF,A,A,A,A,A,A,A,,
06H-CO-2-02,AF,A,A,A,A,A,A,A,,
06H-CO-2-03,5,A,A,A,A,A,D,D,,
06H-CO-2-04,AM,A,A,A,A,A,A,A,,
06H-CO-2-05,4,A,A,A,A,A,D,D,,
06H-CO-2-06,4,A,A,A,A,A,A,A,,
06H-CO-2-07,AF,A,A,A,A,A,A,A,"4 eggs on 9/18, end 5 1st instars",
06H-CO-2-08,AM,A,A,A,A,A,A,A,,
06H-CO-2-09,5,A,A,A,A,A,A,A,,
06H-CO-2-10,5,A,A,A,A,A,A,A,,
06H-CO-2-11,5,A,A,A,A,A,A,A,,
06H-CO-2-12,5,A,A,A,A,A,A,A,,
06H-CO-3-01,AF,A,A,A,A,A,A,A,,
06H-CO-3-02,AF,A,A,A,A,D,D,D,,
06H-CO-3-03,5,A,A,A,A,A,A,A,,
06H-CO-3-04,AF,A,A,A,A,A,A,A,,
06H-CO-3-05,5,A,A,A,A,A,A,A,,
06H-CO-3-06,4,A,A,A,A,A,A,A,,
06H-CO-3-07,AM,A,A,A,D,D,D,D,,
06H-CO-3-08,AF,A,A,A,A,A,A,A,,
06H-CO-3-09,4,A,A,A,A,A,A,A,,
06H-CO-3-10,AM,A,A,A,A,A,A,A,Molting on 9/18,
06H-CO-3-11,5,A,A,A,A,A,A,A,,
06H-CO-3-12,5,A,A,A,A,A,A,A,,
06H-CO-4-01,AM,A,A,A,A,A,A,A,,
06H-CO-4-02,5,A,A,A,A,A,A,A,,
06H-CO-4-03,5,A,A,A,A,A,A,A,,
06H-CO-4-03,5,A,A,A,A,A,A,A,,
06H-CO-4-05,5,A,A,A,A,A,A,A,,
06H-CO-4-06,4,A,A,A,A,A,A,A,,
06H-CO-4-07,5,A,A,A,A,A,A,A,,
06H-CO-4-08,5,A,A,A,A,A,A,A,,
06H-CO-4-09,5,A,A,A,A,A,A,A,,
06H-CO-4-10,4,A,A,A,A,A,A,A,,
06H-CO-4-11,5,A,A,A,A,A,A,A,,
06H-CO-4-12,AF,A,A,A,A,A,A,A,,
24H-CF-1-1,AF,,A,A,A,A,A,A,,
24H-CF-1-2,AM,,A,A,A,D,D,D,,
24H-CF-1-3,AF,,A,A,A,A,A,A,"2, 1st instars",
24H-CF-1-4,5,,A,A,A,A,A,A,,
24H-CF-1-5,4,,A,A,A,A,A,A,,
24H-CF-1-6,AM,,A,A,K,A,A,A,molt 9/12,
24H-CF-1-7,5,,A,A,A,A,A,A,,
24H-CF-1-8,5,,K,K,D,D,D,D,,
24H-CF-1-9,4,,A,A,A,A,A,A,,
24H-CF-1-10,AM,,A,A,A,A,A,A,,
24H-CF-1-11,5,,A,A,A,A,A,A,,
24H-CF-1-12,5,,A,A,D,D,A,D,10/2 observation simply doesn't make sense.,
24H-CF-2-1,5,,A,A,A,A,D,D,,
24H-CF-2-2,AM,,A,A,A,A,A,A,,
24H-CF-2-3,5,,A,A,A,A,A,A,,
24H-CF-2-4,AF,,A,A,A,A,A,A,,
24H-CF-2-5,4,,A,A,A,A,A,A,,
24H-CF-2-6,AF,,A,A,A,A,A,A,NOTE ON 10/2 NOT CLEAR,
24H-CF-2-7,4,,A,A,A,A,A,A,,
24H-CF-2-8,AF,,A,A,A,A,A,A,,
24H-CF-2-9,4,,A,A,A,A,A,A,,
24H-CF-2-10,4,,A,D,D,D,D,D,Died in molt,
24H-CF-2-11,NA-ESCAPE,,,,,,,,,
24H-CF-2-12,NA-ESCAPE,,,,,,,,,
24H-CF-3-1,AF,,D,D,D,D,D,D,,
24H-CF-3-2,5,,A,A,A,A,A,A,"5 or 6, 1st instar on 9/18",
24H-CF-3-3,5,,A,A,A,A,A,A,,
24H-CF-3-4,5,,A,A,D,D,D,D,,
24H-CF-3-5,AM,,A,D,D,D,D,D,,
24H-CF-3-6,5,,A,A,A,A,A,D,,
24H-CF-3-7,4,,A,A,A,A,A,A,,
24H-CF-3-8,5,,A,A,A,D,D,D,,
24H-CF-3-9,5,,A,A,A,A,A,A,,
24H-CF-3-10,AF,,A,A,A,A,A,A,,
24H-CF-3-11,AM,,A,A,A,A,A,A,,
24H-CF-3-12,5,,D,D,D,D,D,D,,
24H-CF-4-1,AF,,A,A,A,A,A,A,,
24H-CF-4-2,5,,A,D,D,D,D,D,,
24H-CF-4-3,5,,A,A,A,A,A,A,,
24H-CF-4-4,5,,A,A,K,D,D,D,,
24H-CF-4-5,AM,,A,A,A,A,A,A,,
24H-CF-4-6,5,,A,A,A,A,A,A,,
24H-CF-4-7,4,,A,A,A,A,A,A,,
24H-CF-4-8,5,,A,A,A,A,A,A,,
24H-CF-4-9,5,,A,A,A,A,A,A,,
24H-CF-4-10,AF,,A,A,A,A,A,A,,
24H-CF-4-11,AM,,A,A,A,A,A,A,,
24H-CF-4-12,5,,A,A,A,A,A,D,,
24H-5A-1-1,5,,K,K,D,D,D,D,,
24H-5A-1-2,AM,,K,K,D,D,D,D,,
24H-5A-1-3,AM,,K,K,D,D,D,D,,
24H-5A-1-4,5,,K,K,D,D,D,D,,
24H-5A-1-5,4,,K,K,D,D,D,D,,
24H-5A-1-6,AM,,K,K,D,D,D,D,,
24H-5A-1-7,5,,K,K,D,D,D,D,,
24H-5A-1-8,5,,K,K,D,D,D,D,,
24H-5A-1-9,5,,K,K,D,D,D,D,,
24H-5A-1-10,5,,K,K,D,D,D,D,,
24H-5A-1-11,4,,D,D,D,D,D,D,,
24H-5A-1-12,AM,,K,D,D,D,D,D,,
24H-5A-2-1,5,,K,K,K,D,D,D,,
24H-5A-2-2,4,,K,K,D,D,D,D,,
24H-5A-2-3,AF,,K,K,D,D,D,D,,
24H-5A-2-4,5,,K,K,D,D,D,D,,
24H-5A-2-5,AF,,K,K,A,A,A,A,,
24H-5A-2-6,5,,K,K,D,D,D,D,,
24H-5A-2-7,AF,,K,K,D,D,D,D,,
24H-5A-2-8,5,,K,K,D,D,D,D,,
24H-5A-2-9,AM,,K,D,D,D,D,D,,
24H-5A-2-10,5,,K,K,D,D,D,D,,
24H-5A-2-11,4,,K,D,D,D,D,D,,
24H-5A-2-12,5,,K,K,D,D,D,D,,
24H-5A-3-1,AM,,K,K,D,D,D,D,,
24H-5A-3-2,5,,K,K,D,D,D,D,,
24H-5A-3-3,5,,K,K,D,D,D,D,,
24H-5A-3-4,AM,,K,K,D,K,D,D,,
24H-5A-3-5,4,,D,D,D,D,D,D,,
24H-5A-3-6,4,,K,K,D,D,D,D,,
24H-5A-3-7,4,,D,D,D,D,D,D,,
24H-5A-3-8,AM,,D,D,D,D,D,D,,
24H-5A-3-9,AF,,K,K,K,D,D,D,,
24H-5A-3-10,5,,K,D,D,D,D,D,,
24H-5A-3-11,AF,,K,D,D,D,D,D,,
24H-5A-3-12,5,,K,D,D,D,D,D,,
24H-5A-4-1,5,,K,K,D,D,D,D,,
24H-5A-4-2,5,,K,K,D,D,D,D,,
24H-5A-4-3,AF,,K,K,D,D,D,D,,
24H-5A-4-4,AF,,K,K,K,K,D,D,,
24H-5A-4-5,AM,,D,D,D,D,D,D,,
24H-5A-4-6,AF,,K,K,D,D,D,D,,
24H-5A-4-7,AM,,D,D,D,D,D,D,,
24H-5A-4-8,5,,D,D,D,D,D,D,,
24H-5A-4-9,5,,K,K,K,D,D,D,,
24H-5A-4-10,AF,,K,K,D,D,D,D,,
24H-5A-4-11,AF,,K,D,D,D,D,D,,
24H-5A-4-12,AM,,K,D,D,D,D,D,,
24H-CO-1-1,5,,A,D,D,D,D,D,,
24H-CO-1-2,AF,,A,A,A,A,A,A,,
24H-CO-1-3,AF,,A,A,A,A,A,A,laid egg to1st instar 9/25,
24H-CO-1-4,AM,,A,A,A,A,A,A,,
24H-CO-1-5,5,,A,A,A,A,A,A,,
24H-CO-1-6,4,,A,A,A,A,A,A,,
24H-CO-1-7,4,,A,A,D,D,D,D,,
24H-CO-1-8,4,,A,A,A,A,A,A,,
24H-CO-1-9,4,,A,A,A,A,A,A,,
24H-CO-1-10,4,,A,A,A,A,A,A,,
24H-CO-1-11,5,,A,A,A,A,A,A,,
24H-CO-1-12,4,,D,D,D,D,D,D,,
24H-CO-2-1,AM,,A,A,A,A,A,A,,
24H-CO-2-2,5,,A,A,A,A,A,A,,
24H-CO-2-3,5,,A,A,K,D,D,D,,
24H-CO-2-4,5,,A,A,A,A,A,A,,
24H-CO-2-5,5,,A,A,A,A,A,A,,
24H-CO-2-6,AF,,A,A,A,A,A,A,"1, 1st instarat 9/25",
24H-CO-2-7,4,,A,A,A,A,A,A,,
24H-CO-2-8,AM,,A,A,A,A,A,A,,
24H-CO-2-9,5,,A,A,A,A,A,A,,
24H-CO-2-10,4,,A,A,A,A,A,A,,
24H-CO-2-11,4,,A,A,A,A,A,A,,
24H-CO-2-12,5,,A,A,A,A,A,A,,
24H-CO-3-1,AM,,A,A,A,A,K,D,,
24H-CO-3-2,AF,,A,A,A,A,A,A,"1, 1st instaron 9/18",
24H-CO-3-3,5,,A,A,A,A,A,A,,
24H-CO-3-4,4,,A,A,A,A,A,A,,
24H-CO-3-5,AF,,A,A,A,A,A,A,"6, 1st instar 9/25",
24H-CO-3-6,5,,A,A,A,A,A,A,,
24H-CO-3-7,AM,,A,A,A,A,A,A,,
24H-CO-3-8,AM,,A,A,A,A,A,A,,
24H-CO-3-9,AF,,A,A,A,A,A,A,,
24H-CO-3-10,5,,A,A,A,A,A,A,,
24H-CO-3-11,AM,,A,A,A,A,A,A,molted9/12,
24H-CO-3-12,5,,A,A,A,A,A,A,,
24H-CO-4-1,4,,A,A,A,A,A,A,affected by static,
24H-CO-4-2,AM,,D,D,D,D,D,D,,
24H-CO-4-3,AF,,A,A,A,A,A,A,5 hatch by 9/25,
24H-CO-4-4,5,,A,K,D,D,D,D,,
24H-CO-4-5,AF,,A,A,A,A,A,A,"5, 1st instar 9/18",
24H-CO-4-6,5,,A,A,A,A,A,A,,
24H-CO-4-7,AM,,A,A,A,A,A,A,,
24H-CO-4-8,AF,,A,A,A,A,A,A,9/13molted(5->AF),
24H-CO-4-9,4,,A,A,A,A,A,A,,
24H-CO-4-10,5,,A,A,A,A,A,A,,
24H-CO-4-11,AM,,A,A,A,A,A,A,,
24H-CO-4-12,AF,,A,A,A,A,A,A,"2, 1ST INSTARS",
