"","INSECT","STAGE_START","STAGE_END","NOTES","paint","days.after.paint","quad","exposure","treatment","exp.time","date","status","alive","knockdown","dead","unviable","living","julian","day"
"25","01H-5A-3-03","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"26","01H-5A-3-04","AM","AM","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"27","01H-5A-3-05","AF","AF","2 eggs on 9/18 (3, 1ST INSARS AT END)","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"28","01H-5A-3-06","AM","AM","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"29","01H-5A-3-07","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"30","01H-5A-3-08","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"31","01H-5A-3-09","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"32","01H-5A-3-10","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"33","01H-5A-3-11","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"34","01H-5A-4-01","5","5","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"35","01H-5A-4-02","5","5","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"36","01H-5A-4-03","5","5","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"37","01H-5A-4-04","4","4","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"38","01H-5A-4-05","5","5","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"39","01H-5A-4-06","5","5","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"40","01H-5A-4-07","AM","AM","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"41","01H-5A-4-08","AM","AM","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"42","01H-5A-4-09","AM","AM","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"43","01H-5A-4-10","5","AF","Molting on 9/12","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"44","01H-5A-4-11","AF","AF","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"45","01H-CO-1-01","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"46","01H-CO-1-02","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"47","01H-CO-1-03","AF","AF","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"48","01H-CO-1-04","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"49","01H-CO-1-05","AF","AF","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"50","01H-CO-1-06","AF","AF","3 eggs on 9/18and on 3 1st Instars","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"51","01H-CO-1-07","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"52","01H-CO-1-08","AM","AM","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"53","01H-CO-1-09","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"54","01H-CO-1-10","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"55","01H-CO-1-11","4","4","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"56","01H-CO-1-12","AF","AF","2 eggs on 9/18, 2 1st instars","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"57","01H-CO-2-01","4","4","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"58","01H-CO-2-02","4","4","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"59","01H-CO-2-03","AM","AM","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"60","01H-CO-2-04","AM","AM","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"61","01H-CO-2-05","5","5","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"62","01H-CO-2-06","4","4","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"63","01H-CO-2-07","5","AF","Molting on 9/12","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"64","01H-CO-2-08","AM","AM","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"65","01H-CO-2-09","5","5","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"66","01H-CO-2-10","5","5","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"67","01H-CO-2-11","5","5","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"68","01H-CO-2-12","AF","AF","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"69","01H-CO-3-01","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"70","01H-CO-3-02","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"71","01H-CO-3-03","AF","AF","2 eggs and 1st instars on 9/18","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"72","01H-CO-3-04","AM","AM","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"73","01H-CO-3-05","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"74","01H-CO-3-06","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"75","01H-CO-3-07","AM","AM","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"76","01H-CO-3-08","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"77","01H-CO-3-09","AF","AF","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"78","01H-CO-3-10","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"79","01H-CO-3-11","AF","AF","2 eggs and 1st instars on 9/18","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"80","01H-CO-3-12","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"81","01H-CO-4-01","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"82","01H-CO-4-02","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"83","01H-CO-4-03","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"84","01H-CO-4-04","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"85","01H-CO-4-05","AM","AM","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"86","01H-CO-4-06","AM","AM","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"87","01H-CO-4-07","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"88","01H-CO-4-08","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"89","01H-CO-4-09","AM","AM","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"90","01H-CO-4-10","AM","AM","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"91","01H-CO-4-11","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"92","01H-CO-4-12","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"93","03H-5A-1-01","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"94","03H-5A-1-02","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"95","03H-5A-1-03","AM","AM","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"96","03H-5A-1-04","AM","AM","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"97","03H-5A-1-05","AF","AF","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"98","03H-5A-1-06","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"99","03H-5A-1-07","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"100","03H-5A-1-08","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"101","03H-5A-1-09","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"102","03H-5A-1-10","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"103","03H-5A-1-11","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"104","03H-5A-1-12","AM","AM","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"105","03H-5A-2-01","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"106","03H-5A-2-02","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"107","03H-5A-2-03","AF","AF","4 eggs on 9/18, 4 1st instar hatched 9/25","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"108","03H-5A-2-04","AF","AF","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"109","03H-5A-2-05","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"110","03H-5A-2-06","4","4","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"111","03H-5A-2-07","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"112","03H-5A-2-08","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"113","03H-5A-2-09","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"114","03H-5A-2-10","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"115","03H-5A-2-11","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"116","03H-5A-2-12","4","4","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"117","03H-5A-3-01","4","4","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"118","03H-5A-3-02","5","5","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"119","03H-5A-3-03","4","4","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"120","03H-5A-3-04","5","5","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"121","03H-5A-3-05","AF","AF","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"122","03H-5A-3-06","5","AM","Molting on 9/18","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"123","03H-5A-3-07","AF","AF","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"124","03H-5A-3-08","AM","AM","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"125","03H-5A-3-09","4","4","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"126","03H-5A-3-10","AM","AM","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"127","03H-5A-3-11","4","4","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"128","03H-5A-3-12","5","5","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"129","03H-5A-4-01","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"130","03H-5A-4-02","AM","AM","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"131","03H-5A-4-03","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"132","03H-5A-4-04","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"133","03H-5A-4-05","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"134","03H-5A-4-06","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"135","03H-5A-4-07","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"136","03H-5A-4-08","5","5","9/13 looks squished","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"137","03H-5A-4-09","4","4","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"138","03H-5A-4-10","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"139","03H-5A-4-11","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"140","03H-5A-4-12","4","4","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0
"141","03H-CO-1-01","AF","AF","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"142","03H-CO-1-02","AM","AM","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"143","03H-CO-1-03","AF","AF","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"144","03H-CO-1-04","5","5","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"145","03H-CO-1-05","AM","AM","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"146","03H-CO-1-06","AM","AM","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"147","03H-CO-1-07","5","5","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"148","03H-CO-1-08","AM","AM","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"149","03H-CO-1-09","AF","AF","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"150","03H-CO-1-10","AF","AF","9/25 alive 1, 1st instar","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"151","03H-CO-1-11","5","5","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"152","03H-CO-1-12","AF","AF","2 eggs and instar on 9/18","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"153","03H-CO-2-01","4","4","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"154","03H-CO-2-02","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"155","03H-CO-2-03","AF","AF","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"156","03H-CO-2-04","5","AM","Melting on 9/12","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"157","03H-CO-2-05","AM","AM","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"158","03H-CO-2-06","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"159","03H-CO-2-07","5","5","died In molt on 9/12","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"160","03H-CO-2-08","4","4","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"161","03H-CO-2-09","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"162","03H-CO-2-10","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"163","03H-CO-2-11","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"164","03H-CO-2-12","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"165","03H-CO-3-01","5","5","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"166","03H-CO-3-02","AF","AF","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"167","03H-CO-3-03","AF","AF","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"168","03H-CO-3-04","AF","AF","1 egg 9/25 and 1st instar","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"169","03H-CO-3-05","5","5","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"170","03H-CO-3-06","5","5","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"171","03H-CO-3-07","5","5","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"172","03H-CO-3-08","AF","AF","2 eggs on 9/18","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"173","03H-CO-3-09","4","4","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"174","03H-CO-3-10","5","5","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"175","03H-CO-3-11","AM","AM","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"176","03H-CO-3-12","5","5","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"177","03H-CO-4-01","AM","AM","","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"178","03H-CO-4-02","5","5","","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"179","03H-CO-4-03","4","4","","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"180","03H-CO-4-04","5","5","","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"181","03H-CO-4-05","5","5","","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"182","03H-CO-4-06","AF","AF","1, 1st instar, 2 eggs laid 10/2","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"183","03H-CO-4-07","AM","AM","","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"184","03H-CO-4-08","5","5","","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"185","03H-CO-4-09","AF","AF","","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"186","03H-CO-4-10","5","5","","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"187","03H-CO-4-11","5","5","","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"188","03H-CO-4-12","5","5","","CO",1,"4","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0
"189","06H-5A-1-01","AM","AM","","5A",1,"1","06H-5A","06H-5A-1","06H",2015-09-11,"K",0,1,0,1,1,16689,0
"190","06H-5A-1-02","5","5","","5A",1,"1","06H-5A","06H-5A-1","06H",2015-09-11,"K",0,1,0,1,1,16689,0
"191","06H-5A-1-03","AF","AF","","5A",1,"1","06H-5A","06H-5A-1","06H",2015-09-11,"K",0,1,0,1,1,16689,0
"192","06H-5A-1-04","5","5","","5A",1,"1","06H-5A","06H-5A-1","06H",2015-09-11,"K",0,1,0,1,1,16689,0
"193","06H-5A-1-05","4","4","","5A",1,"1","06H-5A","06H-5A-1","06H",2015-09-11,"K",0,1,0,1,1,16689,0
"194","06H-5A-1-06","4","4","","5A",1,"1","06H-5A","06H-5A-1","06H",2015-09-11,"K",0,1,0,1,1,16689,0
"195","06H-5A-1-07","4","5","molt 9/25","5A",1,"1","06H-5A","06H-5A-1","06H",2015-09-11,"K",0,1,0,1,1,16689,0
"196","06H-5A-1-08","5","5","","5A",1,"1","06H-5A","06H-5A-1","06H",2015-09-11,"K",0,1,0,1,1,16689,0
"197","06H-5A-1-09","5","5","","5A",1,"1","06H-5A","06H-5A-1","06H",2015-09-11,"K",0,1,0,1,1,16689,0
"198","06H-5A-1-10","5","5","","5A",1,"1","06H-5A","06H-5A-1","06H",2015-09-11,"K",0,1,0,1,1,16689,0
